title,imageUrl,rating,releaseDate,genre
A Prayer Before Dawn,https://www.imsdb.com/posters/A-Prayer-Before-Dawn.jpg,N/A,August 2018,"Crime, Drama"
A Few Good Men,https://www.imsdb.com/posters/A-Few-Good-Men.jpg,N/A,December 1992,"Crime, Drama, Mystery, Thriller"
Above the Law,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Action
Ace Ventura: Pet Detective,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Absolute Power,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Thriller, Crime, Drama"
"Abyss, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Sci-Fi, Thriller"
"Addams Family, The","https://www.imsdb.com/posters/Addams-Family,-The.jpg",N/A,November 1991,"Comedy, Fantasy, Horror, Family"
Adaptation,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
"Adjustment Bureau, The","https://www.imsdb.com/posters/Adjustment-Bureau,-The.jpg",N/A,March 2011,"Romance, Sci-Fi, Thriller"
"Adventures of Buckaroo Banzai Across the Eighth Dimension, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Comedy, Romance, Sci-Fi"
Affliction,http://www.imsdb.com/images/no-poster.gif,N/A,January 1999,Drama
After School Special,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
After.Life,https://www.imsdb.com/posters/After.Life.jpg,N/A,April 2010,"Drama, Horror, Thriller"
Airplane,https://www.imsdb.com/posters/Airplane.jpg,N/A,July 1980,"Comedy, Romance"
Agnes of God,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Mystery"
Airplane 2: The Sequel,https://www.imsdb.com/posters/Airplane-2-The-Sequel.jpg,N/A,December 1982,"Comedy, Sci-Fi"
Aladdin,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Animation, Family, Musical, Fantasy, Comedy"
Air Force One,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Drama, Thriller"
Alien 3,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, Horror, Sci-Fi, Thriller"
Alien,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Ali,https://www.imsdb.com/posters/Ali.jpg,N/A,December 2001,Drama
Alien Nation,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Sci-Fi"
Alien: Resurrection,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Alien vs. Predator,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
Aliens,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi, Thriller"
All the King's Men,https://www.imsdb.com/posters/All-the-King's-Men.jpg,N/A,November 1949,Drama
All About Steve,https://www.imsdb.com/posters/All-About-Steve.jpg,N/A,September 2009,Comedy
All About Eve,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
All the President's Men,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Thriller"
Alone in the Dark,https://www.imsdb.com/posters/Alone-in-the-Dark.jpg,N/A,January 2005,"Action, Horror, Thriller"
Almost Famous,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Amadeus,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Amelia,https://www.imsdb.com/posters/Amelia.jpg,N/A,October 2009,Drama
American Beauty,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
American Gangster,https://www.imsdb.com/posters/American-Gangster.jpg,8,November 2007,"Crime, Drama"
American History X,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Thriller"
American Graffiti,http://www.imsdb.com/images/no-poster.gif,N/A,August 1973,"Comedy, Drama"
American Hustle,https://www.imsdb.com/posters/American-Hustle.jpg,N/A,December 2013,"Crime, Drama"
American Madness,https://www.imsdb.com/posters/American-Madness.jpg,N/A,August 1932,Drama
"American President, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
American Outlaws,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Western"
American Pie,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
American Psycho,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Horror, Thriller"
American Milkshake,https://www.imsdb.com/posters/American-Milkshake.jpg,N/A,January 2013,Comedy
American Sniper,https://www.imsdb.com/posters/American-Sniper.jpg,N/A,January 2015,"Action, Drama"
American Shaolin: King of Kickboxers II,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Action
American Splendor,http://www.imsdb.com/images/no-poster.gif,N/A,September 2003,"Comedy, Drama"
American Werewolf in London,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Horror, Romance"
"American, The","https://www.imsdb.com/posters/American,-The.jpg",N/A,September 2010,"Crime, Drama, Thriller"
Amour,https://www.imsdb.com/posters/Amour.jpg,N/A,December 2012,"Drama, Romance"
"Amityville Asylum, The","https://www.imsdb.com/posters/Amityville-Asylum,-The.jpg",N/A,January 2014,Horror
An Education,https://www.imsdb.com/posters/An-Education.jpg,N/A,October 2009,Drama
Analyze That,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Angels,http://www.imsdb.com,N/A,:,
Analyze This,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Anastasia,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Family, Animation, Musical"
Angel Eyes,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance"
Anna Karenina,https://www.imsdb.com/posters/Anna-Karenina.jpg,N/A,November 2012,Drama
Annie Hall,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Romance"
Antitrust,https://www.imsdb.com/posters/Antitrust.jpg,N/A,January 2001,"Thriller, Crime, Drama"
Antz,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Animation, Comedy, Fantasy"
"Anniversary Party, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Anonymous,https://www.imsdb.com/posters/Anonymous.jpg,N/A,October 2011,"Drama, Thriller"
Apocalypse Now,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, War"
"Apartment, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Apollo 13,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Adventure"
Arbitrage,https://www.imsdb.com/posters/Arbitrage.jpg,N/A,September 2012,"Drama, Thriller"
April Fool's Day,https://www.imsdb.com/posters/April-Fool's-Day.jpg,N/A,March 1986,"Comedy, Horror, Mystery"
Apt Pupil,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Thriller"
Arcade,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Sci-Fi
Arctic Blue,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
Army of Darkness,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Adventure, Fantasy, Action, Comedy, Horror"
Argo,https://www.imsdb.com/posters/Argo.jpg,8,October 2012,"Drama, Thriller"
Armageddon,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Sci-Fi, Thriller"
Arsenic and Old Lace,https://www.imsdb.com/posters/Arsenic-and-Old-Lace.jpg,N/A,September 1944,"Comedy, Crime"
Arthur,https://www.imsdb.com/posters/Arthur.jpg,N/A,April 2011,Comedy
"Artist, The","https://www.imsdb.com/posters/Artist,-The.jpg",8,January 2012,"Romance, Comedy, Drama"
As Good As It Gets,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Assassins,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
"Assignment, The","https://www.imsdb.com/posters/Assignment,-The.jpg",N/A,September 1997,Thriller
At First Sight,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
August: Osage County,https://www.imsdb.com/posters/August-Osage-County.jpg,N/A,January 2014,Drama
Austin Powers - International Man of Mystery,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Austin Powers - The Spy Who Shagged Me,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Authors Anonymous,https://www.imsdb.com/posters/Authors-Anonymous.jpg,N/A,March 2014,Comedy
Autumn in New York,https://www.imsdb.com/posters/Autumn-in-New-York.jpg,N/A,August 2000,"Romance, Drama"
"Avengers, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure"
Avatar,https://www.imsdb.com/posters/Avatar.jpg,N/A,December 2009,"Action, Adventure, Sci-Fi"
"Avengers, The (2012)","https://www.imsdb.com/posters/Avengers,-The-(2012).jpg",N/A,May 2012,"Action, Adventure, Sci-Fi"
Avengers: Endgame,https://imsdb.com/posters/Avengers-Endgame.jpg,N/A,April 2019,"Action, Adventure, Drama"
Bachelor Party,https://www.imsdb.com/posters/Bachelor-Party.jpg,N/A,June 2004,Comedy
Awakenings,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
"Avventura, L' (The Adventure)",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Mystery, Thriller"
Back to the Future,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Family, Sci-Fi"
Babel,https://www.imsdb.com/posters/Babel.jpg,N/A,November 2006,"Drama, Thriller"
Back to the Future II,http://www.imsdb.com,N/A,:,
"Bachelor Party, The","https://www.imsdb.com/posters/Bachelor-Party,-The.jpg",N/A,April 1957,Drama
"Back-up Plan, The","https://www.imsdb.com/posters/Back-up-Plan,-The.jpg",N/A,April 2010,"Comedy, Romance"
Backdraft,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, Mystery, Thriller"
Bad Country,https://www.imsdb.com/posters/Bad-Country.jpg,N/A,April 2014,"Action, Crime, Drama"
Bad Boys,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Bad Day at Black Rock,https://www.imsdb.com/posters/Bad-Day-at-Black-Rock.jpg,N/A,January 1955,"Drama, Thriller, Western"
Bad Lieutenant,http://www.imsdb.com/images/no-poster.gif,N/A,November 1992,"Crime, Drama"
Bad Santa,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Badlands,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Thriller, Drama"
Bad Dreams,https://www.imsdb.com/posters/Bad-Dreams.jpg,N/A,April 1988,"Horror, Thriller"
Bad Teacher,https://www.imsdb.com/posters/Bad-Teacher.jpg,N/A,June 2011,Comedy
Bamboozled,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
Barton Fink,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Thriller"
Batman and Robin,http://www.imsdb.com/images/no-poster.gif,1,N/A,"Action, Adventure, Fantasy, Thriller"
Basquiat,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Barry Lyndon,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance, War"
Basic Instinct,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Mystery, Thriller"
Basic,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Mystery, Thriller"
Batman Begins,https://www.imsdb.com/posters/Batman-Begins.jpg,N/A,June 2005,"Action, Adventure, Crime, Fantasy, Thriller"
Batman Forever,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Adventure, Fantasy"
Batman,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Fantasy, Thriller"
Batman 2,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Fantasy, Thriller"
Batman Returns,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
"Battle of Shaker Heights, The","https://www.imsdb.com/posters/Battle-of-Shaker-Heights,-The.jpg",N/A,August 2003,"Drama, Romance, Comedy"
Battle: Los Angeles,https://www.imsdb.com/posters/Battle-Los-Angeles.jpg,N/A,March 2011,"Action, Sci-Fi"
"Battle of Algiers, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, War"
"Beach, The",http://www.imsdb.com/images/no-poster.gif,8,N/A,"Drama, Adventure, Thriller"
Beasts of No Nation,https://www.imsdb.com/posters/Beasts-of-No-Nation.jpg,N/A,October 2015,"Drama, War"
Beasts of the Southern Wild,https://www.imsdb.com/posters/Beasts-of-the-Southern-Wild.jpg,N/A,June 2012,"Drama, Fantasy"
Bean,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Comedy
Beauty and the Beast,https://www.imsdb.com/posters/Beauty-and-the-Beast.jpg,N/A,March 2017,"Family, Fantasy, Musical"
Beavis and Butt-head Do America,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Animation, Comedy"
Beginners,https://www.imsdb.com/posters/Beginners.jpg,N/A,June 2011,"Comedy, Drama, Romance"
Benny,http://www.imsdb.com,N/A,:,
Being John Malkovich,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Fantasy"
Being Human,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Fantasy"
Being There,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
"Believer, The","https://www.imsdb.com/posters/Believer,-The.jpg",N/A,May 2002,Drama
"Best Exotic Marigold Hotel, The","https://www.imsdb.com/posters/Best-Exotic-Marigold-Hotel,-The.jpg",7,May 2012,"Comedy, Drama"
Belle,https://www.imsdb.com/posters/Belle.jpg,N/A,June 2014,"Drama, Romance"
Beloved,https://www.imsdb.com/posters/Beloved.jpg,N/A,October 1998,Drama
Big,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Comedy, Family, Fantasy"
"Big Blue, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance"
Big Eyes,https://www.imsdb.com/posters/Big-Eyes.jpg,N/A,December 2014,"Crime, Drama"
"Big Lebowski, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Mystery, Thriller"
"Big Sick, The","https://www.imsdb.com/posters/Big-Sick,-The.jpg",N/A,July 2017,"Comedy, Drama, Romance"
Big Fish,http://www.imsdb.com/images/no-poster.gif,N/A,January 2004,"Drama, Fantasy, Comedy, Adventure"
"Big White, The","https://www.imsdb.com/posters/Big-White,-The.jpg",N/A,December 2005,"Comedy, Crime, Drama"
Birdman,https://www.imsdb.com/posters/Birdman.jpg,N/A,November 2014,"Comedy, Drama, Romance"
Birthday Girl,http://www.imsdb.com/images/no-poster.gif,8,N/A,"Comedy, Drama, Romance, Crime"
"Birds, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Horror, Thriller, Romance"
"Black Dahlia, The","https://www.imsdb.com/posters/Black-Dahlia,-The.jpg",N/A,September 2006,"Crime, Drama, Mystery, Thriller"
Black Panther,https://www.imsdb.com/posters/Black-Panther.jpg,N/A,February 2018,"Action, Adventure, Sci-Fi"
Black Rain,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Crime, Drama"
Black Swan,https://www.imsdb.com/posters/Black-Swan.jpg,N/A,December 2010,"Drama, Mystery, Thriller"
BlacKkKlansman,https://www.imsdb.com/posters/BlacKkKlansman.jpg,N/A,August 2018,"Crime, Drama"
Black Snake Moan,https://www.imsdb.com/posters/Black-Snake-Moan.jpg,5,March 2007,Drama
Blade,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Sci-Fi"
Blade II,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Horror, Thriller"
Blade Runner,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Drama, Sci-Fi"
Blade: Trinity,http://www.imsdb.com/images/no-poster.gif,N/A,December 2004,"Action, Fantasy, Horror, Thriller"
"Blast from the Past, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Blood and Wine,https://www.imsdb.com/posters/Blood-and-Wine.jpg,N/A,February 1997,"Thriller, Crime, Drama"
"Blues Brothers, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
"Blind Side, The","https://www.imsdb.com/posters/Blind-Side,-The.jpg",5,November 2009,Drama
"Bling Ring, The","https://www.imsdb.com/posters/Bling-Ring,-The.jpg",N/A,June 2013,"Crime, Drama"
"Bodies, Rest",http://www.imsdb.com,N/A,:,
Blood Simple,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Thriller"
Blow,https://www.imsdb.com/posters/Blow.jpg,N/A,April 2001,"Crime, Drama"
Blue Valentine,https://www.imsdb.com/posters/Blue-Valentine.jpg,N/A,December 2010,"Drama, Romance"
Blue Velvet,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Mystery, Thriller"
Body Heat,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Thriller"
Body of Evidence,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Romance, Thriller"
Bonnie and Clyde,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Crime, Drama, Romance"
"Book of Eli, The","https://www.imsdb.com/posters/Book-of-Eli,-The.jpg",6,January 2010,"Action, Adventure, Drama, Sci-Fi, Thriller, Western"
Bones,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Horror
Bonfire of the Vanities,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
Bodyguard,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance, Thriller"
Boogie Nights,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Boondock Saints 2: All Saints Day,https://www.imsdb.com/posters/Boondock-Saints-2-All-Saints-Day.jpg,N/A,November 2009,"Action, Crime, Drama, Thriller"
"Boondock Saints, The","https://www.imsdb.com/posters/Boondock-Saints,-The.jpg",N/A,January 2000,"Crime, Drama, Thriller"
Bottle Rocket,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Crime"
Bound,https://www.imsdb.com/posters/Bound.jpg,N/A,October 1996,"Crime, Drama, Thriller"
"Bounty Hunter, The","https://www.imsdb.com/posters/Bounty-Hunter,-The.jpg",6,March 2010,"Action, Comedy, Crime, Romance"
"Box, The","https://www.imsdb.com/posters/Box,-The.jpg",N/A,November 2009,"Drama, Mystery, Sci-Fi"
"Bourne Identity, The","https://www.imsdb.com/posters/Bourne-Identity,-The.jpg",N/A,June 2002,"Action, Thriller, Mystery, Drama, Adventure"
"Bourne Ultimatum, The","https://www.imsdb.com/posters/Bourne-Ultimatum,-The.jpg",8,August 2007,"Action, Adventure, Mystery, Thriller"
"Boxtrolls, The","https://www.imsdb.com/posters/Boxtrolls,-The.jpg",N/A,September 2014,"Animation, Adventure, Comedy"
"Bourne Supremacy, The","https://www.imsdb.com/posters/Bourne-Supremacy,-The.jpg",N/A,July 2004,"Adventure, Mystery, Thriller, Action, Drama"
Boyhood,https://www.imsdb.com/posters/Boyhood.jpg,N/A,August 2014,Drama
Braveheart,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, War, Action"
Brazil,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Fantasy, Sci-Fi"
Breakdown,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Thriller"
Break,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Breaking Away,https://www.imsdb.com/posters/Breaking-Away.jpg,N/A,July 1979,"Comedy, Drama"
"Breakfast Club, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama"
Brick,https://www.imsdb.com/posters/Brick.jpg,N/A,April 2006,"Drama, Mystery"
Bridesmaids,https://www.imsdb.com/posters/Bridesmaids.jpg,N/A,May 2011,Comedy
Bringing Out the Dead,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Drama
Broken Arrow,https://www.imsdb.com/posters/Broken-Arrow.jpg,N/A,February 1996,"Action, Adventure, Thriller"
Broadcast News,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Romance"
Broken Embraces,https://www.imsdb.com/posters/Broken-Embraces.jpg,N/A,October 2009,"Drama, Romance, Thriller"
"Brothers Bloom, The","https://www.imsdb.com/posters/Brothers-Bloom,-The.jpg",N/A,September 2008,"Adventure, Comedy, Crime, Drama, Romance"
Bruce Almighty,http://www.imsdb.com/images/no-poster.gif,5,N/A,"Comedy, Fantasy, Romance"
Burn After Reading,https://www.imsdb.com/posters/Burn-After-Reading.jpg,N/A,September 2008,"Comedy, Crime"
Buried,https://www.imsdb.com/posters/Buried.jpg,8,September 2010,"Drama, Mystery, Thriller"
Buffy the Vampire Slayer,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy, Horror"
Bull Durham,http://www.imsdb.com/images/no-poster.gif,N/A,June 1988,"Comedy, Drama, Romance"
Burlesque,https://www.imsdb.com/posters/Burlesque.jpg,5,November 2010,"Drama, Musical, Romance"
Burning Annie,https://www.imsdb.com/posters/Burning-Annie.jpg,N/A,February 2007,"Comedy, Drama, Romance"
"Butterfly Effect, The",http://www.imsdb.com/images/no-poster.gif,N/A,January 2004,"Drama, Thriller, Fantasy"
Cable Guy,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Drama, Thriller"
Casablanca,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Drama, Romance"
Candle to Water,https://www.imsdb.com/posters/Candle-to-Water.jpg,N/A,November 2012,Drama
Capote,https://www.imsdb.com/posters/Capote.jpg,N/A,February 2006,"Crime, Drama"
Cars 2,https://www.imsdb.com/posters/Cars-2.jpg,N/A,June 2011,"Animation, Action, Adventure"
Case 39,https://www.imsdb.com/posters/Case-39.jpg,N/A,October 2010,"Horror, Mystery, Thriller"
Carrie,https://www.imsdb.com/posters/Carrie.jpg,N/A,November 1976,"Horror, Thriller"
Casino,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,Crime
Cast Away,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Adventure, Drama"
Catch Me If You Can,https://www.imsdb.com/posters/Catch-Me-If-You-Can.jpg,N/A,December 2002,"Crime, Drama"
Celeste,http://www.imsdb.com,N/A,:,
Cecil B. Demented,https://www.imsdb.com/posters/Cecil-B.-Demented.jpg,N/A,August 2000,"Comedy, Crime, Thriller"
Catwoman,http://www.imsdb.com/images/no-poster.gif,N/A,July 2004,"Action, Crime"
Cedar Rapids,https://www.imsdb.com/posters/Cedar-Rapids.jpg,N/A,February 2011,Comedy
"Cell, The",http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Horror, Sci-Fi, Thriller"
Cellular,http://www.imsdb.com/images/no-poster.gif,N/A,September 2004,"Action, Crime, Drama, Mystery, Thriller"
"Change-Up, The","https://www.imsdb.com/posters/Change-Up,-The.jpg",N/A,August 2011,Comedy
Chaos,https://www.imsdb.com/posters/Chaos.jpg,N/A,December 2005,"Action, Crime, Drama, Thriller"
Changeling,https://www.imsdb.com/posters/Changeling.jpg,8,October 2008,"Crime, Drama, Mystery"
Charlie's Angels,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Action, Comedy"
Chasing Amy,http://www.imsdb.com/images/no-poster.gif,N/A,N/A,"Comedy, Romance"
Chasing Sleep,https://www.imsdb.com/posters/Chasing-Sleep.jpg,N/A,September 2001,"Horror, Thriller"
Charade,https://www.imsdb.com/posters/Charade.jpg,N/A,December 1963,"Comedy, Mystery, Romance, Thriller"
Cherry Falls,https://www.imsdb.com/posters/Cherry-Falls.jpg,N/A,August 2000,"Horror, Thriller, Comedy, Mystery"
Chinatown,https://www.imsdb.com/posters/Chinatown.jpg,N/A,June 1974,"Crime, Mystery, Thriller"
Christ Complex,https://www.imsdb.com/posters/Christ-Complex.jpg,N/A,October 2012,"Comedy, Fantasy"
Chronicle,https://www.imsdb.com/posters/Chronicle.jpg,N/A,February 2012,"Drama, Sci-Fi, Thriller"
"Cider House Rules, The","https://www.imsdb.com/posters/Cider-House-Rules,-The.jpg",N/A,December 1999,"Drama, Romance"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe","https://www.imsdb.com/posters/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.jpg",N/A,December 2005,"Action, Adventure, Drama, Family, Fantasy"
Cirque du Freak: The Vampire's Assistant,https://www.imsdb.com/posters/Cirque-du-Freak-The-Vampire's-Assistant.jpg,N/A,October 2009,"Action, Adventure, Fantasy, Thriller"
"Cincinnati Kid, The","https://www.imsdb.com/posters/Cincinnati-Kid,-The.jpg",N/A,October 1965,Drama
